key,operation_id,operation_name,sequence_number,batch_externalId,unit_procedure_externalId,asset_externalIds,equipment_externalIds,timeseries_externalIds,description,startTime,endTime,scheduledStartTime,scheduledEndTime
OP_R12_SLURRY_LOAD,OP-R12-SLURRY-LOAD,R12 Slurry Load Operation,10,BATCH-R12-2024-001,UP-R12-SLURRY,UNIT_R12|EM_R12_CHARGE|PC_CELLA|AREA_BIO|SITE_BAS,EQ_R12_CHARGE_PUMP|EQ_R12_CHARGE_FLOWMETER|EQ_R12_CHARGE_PRESSURE_TX|EQ_R12_CHARGE_TEMP_SENSOR|EQ_R12_CHARGE_VFD,TS_R12_CHARGE_FLOW|TS_R12_CHARGE_PRESS|TS_R12_CHARGE_TEMP|TS_R12_VFD_SPEED,R12 Slurry Load Operation orchestrates UP-R12-SLURRY during batch BATCH-R12-2024-001,2024-01-10T08:05:00Z,2024-01-10T08:25:00Z,2024-01-10T07:55:00Z,2024-01-10T08:20:00Z
OP_R12_SLURRY_AGITATE,OP-R12-SLURRY-AGITATE,R12 Slurry Agitation Operation,20,BATCH-R12-2024-001,UP-R12-SLURRY,UNIT_R12|EM_R12_CHARGE|ENT_EU|SITE_BAS,EQ_R12_CHARGE_CONTROL_PANEL|EQ_R12_CHARGE_SAFETY_VALVE|EQ_R12_CHARGE_FLOWMETER|EQ_R12_CHARGE_VFD,TS_R12_PANEL_STATUS|TS_R12_SAFETY_STATE|TS_R12_CHARGE_FLOW|TS_R12_VFD_SPEED,R12 Slurry Agitation Operation orchestrates UP-R12-SLURRY during batch BATCH-R12-2024-001,2024-01-10T08:35:00Z,2024-01-10T08:55:00Z,2024-01-10T08:25:00Z,2024-01-10T08:50:00Z
OP_R12_FEED_CHARGE,OP-R12-FEED-CHARGE,R12 Charge Feed Operation,10,BATCH-R12-2024-006,UP-R12-FEED,UNIT_R12|EM_R12_CHARGE|AREA_BIO,EQ_R12_CHARGE_PUMP|EQ_R12_CHARGE_PRESSURE_TX|EQ_R12_CHARGE_TEMP_SENSOR,TS_R12_CHARGE_PRESS|TS_R12_CHARGE_TEMP|TS_R12_VFD_SPEED,R12 Charge Feed Operation orchestrates UP-R12-FEED during batch BATCH-R12-2024-006,2024-02-21T07:00:00Z,2024-02-21T07:20:00Z,2024-02-21T06:50:00Z,2024-02-21T07:15:00Z
OP_R12_FEED_VERIFY,OP-R12-FEED-VERIFY,R12 Feed Verification Operation,20,BATCH-R12-2024-006,UP-R12-FEED,UNIT_R12|EM_R12_CHARGE|PC_CELLA,EQ_R12_CHARGE_CONTROL_PANEL|EQ_R12_CHARGE_SAFETY_VALVE,TS_R12_PANEL_STATUS|TS_R12_SAFETY_STATE,R12 Feed Verification Operation orchestrates UP-R12-FEED during batch BATCH-R12-2024-006,2024-02-21T07:30:00Z,2024-02-21T07:50:00Z,2024-02-21T07:20:00Z,2024-02-21T07:45:00Z
OP_R12_TRIAL_ADJUST,OP-R12-TRIAL-ADJUST,R12 Trial Adjustment Operation,10,BATCH-R12-TRIAL-007,UP-R12-TRIAL,UNIT_R12|EM_R12_CHARGE|PC_CELLA|AREA_BIO,EQ_R12_CHARGE_PUMP|EQ_R12_CHARGE_TEMP_SENSOR|EQ_R12_CHARGE_CONTROL_PANEL,TS_R12_CHARGE_TEMP|TS_R12_PANEL_STATUS|TS_R12_VFD_SPEED,R12 Trial Adjustment Operation orchestrates UP-R12-TRIAL during batch BATCH-R12-TRIAL-007,2024-04-04T05:30:00Z,2024-04-04T05:50:00Z,2024-04-04T05:20:00Z,2024-04-04T05:45:00Z
OP_R13_INIT_CHARGE,OP-R13-INIT-CHARGE,R13 Initiation Charge Operation,10,BATCH-R13-2024-002,UP-R13-INIT,UNIT_R13|EM_R13_MIX|PC_CELLA_B|AREA_BIO,EQ_R13_MIXER|EQ_R13_MIX_TEMP_SENSOR|EQ_R13_MIX_CONTROL_PANEL,TS_R13_MIXER_SPEED|TS_R13_VESSEL_TEMP|TS_R13_PANEL_TEMP,R13 Initiation Charge Operation orchestrates UP-R13-INIT during batch BATCH-R13-2024-002,2024-01-12T06:00:00Z,2024-01-12T06:20:00Z,2024-01-12T05:50:00Z,2024-01-12T06:15:00Z
OP_R13_INIT_HEAT,OP-R13-INIT-HEAT,R13 Initiation Heat Operation,20,BATCH-R13-2024-002,UP-R13-INIT,UNIT_R13|EM_R13_MIX|ENT_EU,EQ_R13_MIX_VFD|EQ_R13_MIX_TORQUE_SENSOR,TS_R13_MIXER_TORQUE|TS_R13_MIXER_SPEED,R13 Initiation Heat Operation orchestrates UP-R13-INIT during batch BATCH-R13-2024-002,2024-01-12T06:30:00Z,2024-01-12T06:50:00Z,2024-01-12T06:20:00Z,2024-01-12T06:45:00Z
OP_R13_MAIN_HOLD,OP-R13-MAIN-HOLD,R13 Main Hold Operation,10,BATCH-R13-2024-008,UP-R13-MAIN,UNIT_R13|EM_R13_MIX|PC_CELLA_B,EQ_R13_MIXER|EQ_R13_MIX_PRESSURE_TX|EQ_R13_MIX_TEMP_SENSOR|EQ_R13_MIX_VFD,TS_R13_VESSEL_PRESS|TS_R13_VESSEL_TEMP|TS_R13_MIXER_SPEED|TS_R13_INTERLOCK_STATE,R13 Main Hold Operation orchestrates UP-R13-MAIN during batch BATCH-R13-2024-008,2024-03-15T06:10:00Z,2024-03-15T06:30:00Z,2024-03-15T06:00:00Z,2024-03-15T06:25:00Z
OP_R13_POSTCURE_BAKE,OP-R13-POSTCURE-BAKE,R13 Post Cure Bake Operation,10,BATCH-R13-POST-009,UP-R13-POSTCURE,UNIT_R13|EM_R13_MIX|SITE_BAS,EQ_R13_MIX_CONTROL_PANEL|EQ_R13_MIX_TORQUE_SENSOR,TS_R13_PANEL_TEMP|TS_R13_MIXER_TORQUE,R13 Post Cure Bake Operation orchestrates UP-R13-POSTCURE during batch BATCH-R13-POST-009,2024-03-16T09:15:00Z,2024-03-16T09:35:00Z,2024-03-16T09:05:00Z,2024-03-16T09:30:00Z
OP_FILL_BULK_TRANSFER,OP-FILL-BULK-TRANSFER,Fill Bulk Transfer Operation,10,BATCH-FILL-2024-003,UP-FILL-BULK,UNIT_FILL_TANK|EM_FILL_PUMP|PC_FILL1|AREA_FILL|SITE_OSL,EQ_FILL_TRANSFER_PUMP|EQ_FILL_PUMP_FLOWMETER|EQ_FILL_PUMP_PRESSURE_TRANSMITTER|EQ_FILL_PUMP_LEVEL_SWITCH|EQ_FILL_PUMP_VFD,TS_FILL_PUMP_FLOW|TS_FILL_PUMP_PRESS|TS_FILL_TANK_LEVEL|TS_FILL_VFD_SPEED,Fill Bulk Transfer Operation orchestrates UP-FILL-BULK during batch BATCH-FILL-2024-003,2024-01-14T04:30:00Z,2024-01-14T04:50:00Z,2024-01-14T04:20:00Z,2024-01-14T04:45:00Z
