key,control_module_id,control_module_name,control_type,controller_address,equipment_module_externalId,description
CTRL_EM_R12_CHARGE_FLOW_PID,CM-R12-FLOW,Charge Flow PID Loop,Regulatory,PLC-R12:K1:FIC101,EM_R12_CHARGE,PID loop modulating charge line flow into UNIT_R12 to maintain recipe setpoints.
CTRL_EM_R12_CHARGE_TEMP_PID,CM-R12-TEMP,Charge Temperature PID,Regulatory,PLC-R12:K1:TIC102,EM_R12_CHARGE,PID controller regulating charge stream temperature for Reactor R12 feed.
CTRL_EM_R12_CHARGE_LEVEL_SIS,CM-R12-LSIS,Charge Level Safety Interlock,Safety,PLC-R12:K1:LSL103,EM_R12_CHARGE,Safety loop tripping charge pumps on low/high reactor level conditions.
CTRL_EM_R12_CHARGE_FEED_SEQ,CM-R12-FSEQ,Charge Feed Sequencer,Sequence,PLC-R12:K1:SEQ1,EM_R12_CHARGE,Sequence logic coordinating charge feed valve lineup and pump start.
CTRL_EM_FILL_PUMP_SPEED_VFD,CM-FILL-VFD,Fill Pump Speed Controller,MotorControl,PLC-FILL:K2:SPD201,EM_FILL_PUMP,Variable-speed controller driving the fill transfer pump motor.
CTRL_EM_FILL_PUMP_PRESS_PID,CM-FILL-PRES,Fill Discharge Pressure PID,Regulatory,PLC-FILL:K2:PIC202,EM_FILL_PUMP,PID loop holding fill discharge pressure during bottle filling.
CTRL_EM_FILL_PUMP_RUN_INTERLOCK,CM-FILL-ILK,Fill Pump Run Interlock,Interlock,PLC-FILL:K2:IL203,EM_FILL_PUMP,Interlock ensuring fill pump only runs with permissives satisfied.
CTRL_EM_FILL_PUMP_TEMP_ALARM,CM-FILL-ALM,Fill Seal Temp Alarm,Alarm,PLC-FILL:K2:AL204,EM_FILL_PUMP,Alarm logic notifying operators of elevated pump seal temperatures.
CTRL_EM_R13_MIX_SPEED_PID,CM-R13-SPD,Mixer Speed PID Loop,Regulatory,PLC-R13:K3:SPC301,EM_R13_MIX,Closed-loop control maintaining mixer speed for Reactor R13.
CTRL_EM_R13_MIX_TORQUE_MON,CM-R13-TORQ,Mixer Torque Monitor,Monitoring,PLC-R13:K3:TM302,EM_R13_MIX,Monitoring block tracking mixer torque to detect abnormal loads.
CTRL_EM_R13_MIX_START_SEQ,CM-R13-SEQ,Mixer Start Sequencer,Sequence,PLC-R13:K3:SEQ3,EM_R13_MIX,Sequencer coordinating mixer purge and start-up steps.
CTRL_EM_R13_MIX_VIB_ALARM,CM-R13-VIB,Mixer Vibration Alarm,Alarm,PLC-R13:K3:VIB304,EM_R13_MIX,Alarm raising alerts when mixer vibration exceeds thresholds.
CTRL_EM_QC_CHROM_FLOW_PID,CM-QC-FLOW,Chromatography Flow PID,Regulatory,PLC-QC:K4:FIC401,EM_QC_CHROM,Flow PID regulating chromatography column influent.
CTRL_EM_QC_CHROM_PRESS_CTRL,CM-QC-PRES,Chromatography Pressure Control,Regulatory,PLC-QC:K4:PIC402,EM_QC_CHROM,Pressure control loop safeguarding chromatography column pressure.
CTRL_EM_QC_CHROM_VALVE_SEQ,CM-QC-SEQ,Chromatography Valve Sequencer,Sequence,PLC-QC:K4:SEQ4,EM_QC_CHROM,Valve sequencing managing chromatography step transitions.
CTRL_EM_QC_CHROM_COLUMN_TEMP,CM-QC-TEMP,Column Jacket Temperature Control,Regulatory,PLC-QC:K4:TIC403,EM_QC_CHROM,PID maintaining chromatography column jacket temperature.
CTRL_EM_BLDR_MOTOR_SPEED_VFD,CM-BLDR-VFD,Blender Motor Speed Controller,MotorControl,PLC-BLDR:K5:VFD501,EM_BLDR_MOTOR,Drive controller setting blender motor speed ramps.
CTRL_EM_BLDR_MOTOR_OVERCURR,CM-BLDR-OC,Blender Motor Overcurrent Trip,Safety,PLC-BLDR:K5:OC502,EM_BLDR_MOTOR,Safety trip opening motor contactor on overcurrent.
CTRL_EM_BLDR_MOTOR_START_SEQ,CM-BLDR-SEQ,Blender Start/Stop Sequence,Sequence,PLC-BLDR:K5:SEQ5,EM_BLDR_MOTOR,Sequencer handling blender start-up/shutdown steps.
CTRL_EM_BLDR_MOTOR_BRAKE_CTRL,CM-BLDR-BRK,Blender Brake Control,Discrete,PLC-BLDR:K5:BRK503,EM_BLDR_MOTOR,Discrete logic actuating blender mechanical brake.
CTRL_EM_BLDR_CTRL_HMI_PERMISS,CM-BLDR-HMI,Blender HMI Permissive Logic,Logic,PLC-BLDR:K6:HMI601,EM_BLDR_CTRL,Logic granting HMI control authority when conditions met.
CTRL_EM_BLDR_CTRL_SAFETY,CM-BLDR-SIS,Blender Safety Interlock,Safety,PLC-BLDR:K6:SIS602,EM_BLDR_CTRL,SIS preventing blender operation when safety circuit is violated.
CTRL_EM_BLDR_CTRL_RECIPE_LOAD,CM-BLDR-RCP,Blender Recipe Loader,Sequence,PLC-BLDR:K6:RCP603,EM_BLDR_CTRL,Sequence loading approved recipes into blender automation.
