key,procedure_id,procedure_name,recipe_externalId,sequence_number,description,batch_externalId
PROC_R12_CHARGE_STAGE1,PROC-R12-CHARGE-STAGE1,R12 Charge Slurry Prep,REC_MR_R12_CHARGE_V1,10,Prepare charge slurry raw materials and blend to baseline specs,BATCH-R12-2024-001
PROC_R12_CHARGE_STAGE2,PROC-R12-CHARGE-STAGE2,R12 Charge Reactor Feed,REC_MR_R12_CHARGE_V2,20,Feed conditioned slurry into Reactor R12 and establish flow,BATCH-R12-2024-006
PROC_R12_CHARGE_STAGE3,PROC-R12-CHARGE-STAGE3,R12 Charge Trial Adjustments,REC_MR_R12_CHARGE_V3,30,Execute experimental adjustments during R12 charge trial batch,BATCH-R12-TRIAL-007
PROC_R13_POLYMER_INIT,PROC-R13-POLYMER-INIT,R13 Polymer Initiation,REC_MR_R13_POLYMER_V1,10,Charge monomers and initiate polymerization sequence in R13,BATCH-R13-2024-002
PROC_R13_POLYMER_HOLD,PROC-R13-POLYMER-HOLD,R13 Polymerization Hold,REC_MR_R13_POLYMER_V2,20,Maintain catalyst and temperature conditions through main reaction,BATCH-R13-2024-008
PROC_R13_POSTCURE,PROC-R13-POSTCURE,R13 Post-Cure Bake,REC_MR_R13_POSTCURE_V1,30,Run post-cure bake profile for polymer resin finishing,BATCH-R13-POST-009
PROC_FILL_TRANSFER_BULK,PROC-FILL-TRANSFER-BULK,Fill Bulk Transfer,REC_MR_FILL_TRANSFER_V2,10,Transfer conditioned bulk product into intermediate storage,BATCH-FILL-2024-003
PROC_FILL_TRANSFER_V3_DEV,PROC-FILL-TRANSFER-V3-DEV,Fill Transfer V3 Commissioning,REC_MR_FILL_TRANSFER_V3,30,Commission and validate revised transfer sequence for version 3,BATCH-FILL-DEV-018
PROC_FILL_STERILE_ASEPTIC,PROC-FILL-STERILE-ASEPTIC,Sterile Aseptic Prep,REC_MR_FILL_STERILE_V1,10,Execute aseptic preparation prior to sterile filling operations,BATCH-FILL-2024-010
PROC_FILL_REWORK_SORT,PROC-FILL-REWORK-SORT,Rework Sorting Procedure,REC_MR_FILL_REWORK_V1,10,Sort and stage deviated material for rework processing,BATCH-FILL-REWORK-011
PROC_FILL_CIP_LOOP,PROC-FILL-CIP-LOOP,Fill Line CIP Loop,REC_SR_FILL_CLEAN_V1,10,Run clean-in-place loop across fill line circuits,BATCH-FILL-CIP-012
PROC_R12_CLEAN_RINSE,PROC-R12-CLEAN-RINSE,R12 CIP Rinse,REC_SR_R12_CLEAN_V1,10,Perform rinse stage of Reactor R12 CIP sequence,BATCH-CIP-2024-005
PROC_R12_CLEAN_PASSIV,PROC-R12-CLEAN-PASSIV,R12 CIP Passivation,REC_SR_R12_CLEAN_V2,20,Apply passivation chemistry during updated R12 CIP,BATCH-CIP-2024-016
PROC_QC_CHROM_RUN,PROC-QC-CHROM-RUN,QC Chromatography Run,REC_MR_QC_CHROM_V1,10,Run chromatography analysis and collect QC fractions,BATCH-QC-2024-004
PROC_QC_STABILITY_PREP,PROC-QC-STABILITY-PREP,QC Stability Prep,REC_MR_QC_STABILITY_V1,10,Prepare aliquots and controls for stability testing campaign,BATCH-QC-STAB-013
PROC_QC_MICRO_MEDIA,PROC-QC-MICRO-MEDIA,QC Micro Media Prep,REC_MR_QC_MICRO_V1,10,Mix and sterilize media used in microbiological testing,BATCH-QC-MICRO-014
PROC_BLDR_BLEND_MAIN,PROC-BLDR-BLEND-MAIN,Blender Main Mix,REC_MR_BLDR_BLEND_V4,10,Blend bulk ingredients in main mixer and monitor torque,BATCH-BLDR-015
PROC_BLDR_BLEND_FINISH,PROC-BLDR-BLEND-FINISH,Blender Final Discharge,REC_MR_BLDR_BLEND_V3,20,Discharge blender sample product and stage for drying,BATCH-BLDR-016
PROC_PACK_LABEL_MAIN,PROC-PACK-LABEL-MAIN,Packaging Label Application,REC_MR_PACK_LABEL_V1,10,Apply labels and verify serialization on packaged units,BATCH-PACK-017

