key,name,description,externalId,timeSeriesType,assetName,facility,assetDescription,isString,isStep,pi_tag,pi_pointId,pi_sourceTag,pi_pointSource,pi_archiving,engunits,asset_externalId,sourceId,source
TS-KA9101-VIB-DE,23-KA-9101 Vibration DE,1st stage compressor drive end vibration,VAL_23-KA-9101-VIB-DE:X.Value,PI,23-KA-9101,Valhall PH,PH 1st Stage Gas Compressor,FALSE,FALSE,VAL_23-KA-9101-VIB-DE:X.Value,160001,23-KA-9101-VIB-DE,VLH_PCN1,1,mm/s,23-KA-9101,TS-KA9101-VIB-DE,cfihos_test
TS-KA9101-VIB-NDE,23-KA-9101 Vibration NDE,1st stage compressor non-drive end vibration,VAL_23-KA-9101-VIB-NDE:X.Value,PI,23-KA-9101,Valhall PH,PH 1st Stage Gas Compressor,FALSE,FALSE,VAL_23-KA-9101-VIB-NDE:X.Value,160002,23-KA-9101-VIB-NDE,VLH_PCN1,1,mm/s,23-KA-9101,TS-KA9101-VIB-NDE,cfihos_test
TS-KA9101-SPEED,23-KA-9101 Speed,1st stage compressor shaft speed,VAL_23-KA-9101-SPEED:X.Value,PI,23-KA-9101,Valhall PH,PH 1st Stage Gas Compressor,FALSE,FALSE,VAL_23-KA-9101-SPEED:X.Value,160003,23-KA-9101-SPEED,VLH_PCN1,1,RPM,23-KA-9101,TS-KA9101-SPEED,cfihos_test
TS-PT92501,23-PT-92501 Pressure,1st stage suction pressure,VAL_23-PT-92501:X.Value,PI,23-PT-92501,Valhall PH,PH 1stStg Suction Pressure,FALSE,FALSE,VAL_23-PT-92501:X.Value,160627,23-PT-92501:X.Value,VLH_PCN1,1,barg,23-PT-92501,TS-PT92501,cfihos_test
TS-TT96115,23-TT-96115-01 Temp,1st stage gear thrust bearing temperature,VAL_23-TT-96115-01:Z.X.Value,PI,23-TT-96115-01,Valhall PH,PH 1stStg Gear Thrust BRG IN,FALSE,FALSE,VAL_23-TT-96115-01:Z.X.Value,160920,23-TT-96115-01:Z.X.Value,LAB-WAS-VAL,1,degC,23-TT-96115-01,TS-TT96115,cfihos_test
TS-FT92537,23-FT-92537 Flow,1st stage compressor flow,VAL_23_FT_92537_03:Z.X.Value,PI,23-FT-92537,Valhall PH,PH 1stStgComp Flow,FALSE,FALSE,VAL_23_FT_92537_03:Z.X.Value,160061,23_FT_92537_03:Z.X.Value,VLH_PCN1,1,Am3/h,23-FT-92537,TS-FT92537,cfihos_test
TS-LT92521,23-LT-92521 Level,1st stage scrubber level,VAL_23-LT-92521:X.Value,PI,23-LT-92521,Valhall PH,PH 1stStgSuctScrubber Level,FALSE,FALSE,VAL_23-LT-92521:X.Value,160570,23-LT-92521:X.Value,VLH_PCN1,1,%,23-LT-92521,TS-LT92521,cfihos_test
TS-PDT92501,23-PDT-92501 dP,1st stage suction cooler dP,VAL_23-PDT-92501:X.Value,PI,23-PDT-92501,Valhall PH,PH 1stStgSuctCool Gas In ESDV,FALSE,FALSE,VAL_23-PDT-92501:X.Value,160627,23-PDT-92501:X.Value,VLH_PCN1,1,mbar,23-PDT-92501,TS-PDT92501,cfihos_test
TS-PA9201A-DISCH,23-PA-9201A Discharge P,Seawater pump A discharge pressure,VAL_23-PA-9201A-PT:X.Value,PI,23-PA-9201A,Valhall PH,Seawater Lift Pump A,FALSE,FALSE,VAL_23-PA-9201A-PT:X.Value,160100,23-PA-9201A-PT:X.Value,VLH_PCN1,1,barg,23-PA-9201A,TS-PA9201A-DISCH,cfihos_test
TS-GT9401-EGT,23-GT-9401 Exhaust Temp,Gas turbine A exhaust gas temperature,VAL_23-GT-9401-EGT:X.Value,PI,23-GT-9401,Valhall PH,Gas Turbine Generator A,FALSE,FALSE,VAL_23-GT-9401-EGT:X.Value,160200,23-GT-9401-EGT:X.Value,VLH_PCN1,1,degC,23-GT-9401,TS-GT9401-EGT,cfihos_test
TS-GT9401-POWER,23-GT-9401 Power,Gas turbine A power output,VAL_23-GT-9401-MW:X.Value,PI,23-GT-9401,Valhall PH,Gas Turbine Generator A,FALSE,FALSE,VAL_23-GT-9401-MW:X.Value,160201,23-GT-9401-MW:X.Value,VLH_PCN1,1,MW,23-GT-9401,TS-GT9401-POWER,cfihos_test
TS-EA9501-TOUT,23-EA-9501 Gas Out Temp,1st stage cooler gas outlet temperature,VAL_23-EA-9501-TT:X.Value,PI,23-EA-9501,Valhall PH,1st Stage Discharge Cooler,FALSE,FALSE,VAL_23-EA-9501-TT:X.Value,160300,23-EA-9501-TT:X.Value,VLH_PCN1,1,degC,23-EA-9501,TS-EA9501-TOUT,cfihos_test
TS-XV92501-POS,23-XV-92501 Position,1st stage ESDV position feedback,VAL_23-XV-92501-ZT:X.Value,PI,23-XV-92501,Valhall PH,1st Stage Suction ESDV,FALSE,TRUE,VAL_23-XV-92501-ZT:X.Value,160400,23-XV-92501-ZT:X.Value,VLH_PCN1,1,%,23-XV-92501,TS-XV92501-POS,cfihos_test
TS-EL9701-CURR,23-EL-9701 Current,MV motor 1st stage compressor current,VAL_23-EL-9701-CT:X.Value,PI,23-EL-9701,Valhall PH,MV Motor 1st Stage Compressor,FALSE,FALSE,VAL_23-EL-9701-CT:X.Value,160500,23-EL-9701-CT:X.Value,VLH_PCN1,1,A,23-EL-9701,TS-EL9701-CURR,cfihos_test
TS-SU8501-PRESS,48-SU-8501 Pressure,Subsea control module A hydraulic pressure,VAL_48-SU-8501-PT:X.Value,PI,48-SU-8501,Valhall PH,Subsea Control Module A,FALSE,FALSE,VAL_48-SU-8501-PT:X.Value,160600,48-SU-8501-PT:X.Value,VLH_PCN1,1,barg,48-SU-8501,TS-SU8501-PRESS,cfihos_test
pi:161021,23-YA-96118-02:Z.X.Value,PH 1stStg Gear1 Journ BRG NDE,VAL_23-YA-96118-02:Z.X.Value,PI,23,,PH 1stStg Gear1 Journ BRG NDE,FALSE,FALSE,VAL_23-YA-96118-02:Z.X.Value,161021,,LAB-WAS-VAL,1,,23,pi:161021,akerbp
pi:160252,23-KA-9101-M01_OC_low stage_NOC3low:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>),VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE,PI,23-KA-9101-M01,,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>),FALSE,FALSE,VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE,160252,,LAB-WAS-VAL3P,1,,23-KA-9101-M01,pi:160252,akerbp
pi:160731,23-PT-96186:Z.X1.Value,PH 1st Stg Oil Header,VAL_23-PT-96186:Z.X1.Value,PI,23-PT-96186-01,,PH 1st Stg Oil Header,FALSE,FALSE,VAL_23-PT-96186:Z.X1.Value,160731,,VLH_PCN1,1,,23-PT-96186-01,pi:160731,akerbp
pi:160031,23_FIC_92543_02:Z.X.Value,PH 1stStgComp AntSrg Act CntrlMod,VAL_23_FIC_92543_02:Z.X.Value,PI,23-FIC-92543,,PH 1stStgComp AntSrg Act CntrlMod,FALSE,FALSE,VAL_23_FIC_92543_02:Z.X.Value,160031,,VLH_PCN1,1,,23-FIC-92543,pi:160031,akerbp
pi:161024,23-YA-96120-01:Z.X.Value,PH 1stStg Gear2 Journ BRG DE,VAL_23-YA-96120-01:Z.X.Value,PI,23,,PH 1stStg Gear2 Journ BRG DE,FALSE,FALSE,VAL_23-YA-96120-01:Z.X.Value,161024,,LAB-WAS-VAL,1,,23,pi:161024,akerbp
pi:160574,23-LY-92529_SILch0_SC0_TYSP:VALUE,PH (Profiler) Shutdown Channel 0 - Tube y Setpoint,VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE,PI,23-LE-92529,,PH (Profiler) Shutdown Channel 0 - Tube y Setpoint,FALSE,FALSE,VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE,160574,,VLH_PCN5,1,,23-LE-92529,pi:160574,akerbp
pi:160060,23_FT_92537_02:Z.X.Value,PH 1stStgComp Discharge,VAL_23_FT_92537_02:Z.X.Value,PI,23,,PH 1stStgComp Discharge,FALSE,FALSE,VAL_23_FT_92537_02:Z.X.Value,160060,,VLH_PCN1,1,,23,pi:160060,akerbp
pi:160072,23_PIC_92538_02:Z.X.Value,PH 1stStgComp STV Perf Act CtrlMod,VAL_23_PIC_92538_02:Z.X.Value,PI,23-PIC-92538,,PH 1stStgComp STV Perf Act CtrlMod,FALSE,FALSE,VAL_23_PIC_92538_02:Z.X.Value,160072,,VLH_PCN1,1,,23-PIC-92538,pi:160072,akerbp
pi:160919,23-TT-96114-03:Z.X.Value,PH 1stStg Gear2 Journ BRG DE,VAL_23-TT-96114-03:Z.X.Value,PI,23,,PH 1stStg Gear2 Journ BRG DE,FALSE,FALSE,VAL_23-TT-96114-03:Z.X.Value,160919,,LAB-WAS-VAL,1,,23,pi:160919,akerbp
pi:160623,23-PDI-96249:X.Value,PH 1st Stg Comp Over Inner Seal,VAL_23-PDI-96249:X.Value,PI,23-PDI-96249,,PH 1st Stg Comp Over Inner Seal,FALSE,FALSE,VAL_23-PDI-96249:X.Value,160623,,VLH_PCN1,1,,23-PDI-96249,pi:160623,akerbp
pi:160244,23-KA-9101-M01_Motor_Winding_Temp_Trip:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ motor winding warning trip,VAL_23-KA-9101-M01_Motor_Winding_Temp_Trip:VALUE,PI,23-KA-9101-M01,,PH (SwitchGear) MV-COMP.M. FEEDER/ motor winding warning trip,FALSE,FALSE,VAL_23-KA-9101-M01_Motor_Winding_Temp_Trip:VALUE,160244,,VLH_PCN5,1,,23-KA-9101-M01,pi:160244,akerbp
pi:160836,23-TIC-96147:Z.Y.Value,PH 1stStg Comp Seal Gas Output,VAL_23-TIC-96147:Z.Y.Value,PI,23-TIC-96147,,PH 1stStg Comp Seal Gas Output,FALSE,FALSE,VAL_23-TIC-96147:Z.Y.Value,160836,,VLH_PCN1,1,degC,23-TIC-96147,pi:160836,akerbp
pi:160259,23-KA-9101-M01_TCS_Protection_Trip:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ TCS Protection Trip,VAL_23-KA-9101-M01_TCS_Protection_Trip:VALUE,PI,23-KA-9101-M01,,PH (SwitchGear) MV-COMP.M. FEEDER/ TCS Protection Trip,FALSE,FALSE,VAL_23-KA-9101-M01_TCS_Protection_Trip:VALUE,160259,,VLH_PCN5,1,,23-KA-9101-M01,pi:160259,akerbp
pi:161062,23-YZSL-92545-F:X.Value,PH 1st Stg Comp Disch BDV SOV ZSL Flt,VAL_23-YZSL-92545-F:X.Value,PI,23-YZSL-92545,,PH 1st Stg Comp Disch BDV SOV ZSL Flt,FALSE,FALSE,VAL_23-YZSL-92545-F:X.Value,161062,,VLH_PCN1,1,,23-YZSL-92545,pi:161062,akerbp
pi:160670,23-PIC-96153:Control Module:YR,PH 1stStg Comp Inner Seal Working Setpoint,VAL_23-PIC-96153:Control Module:YR,PI,23-PIC-96153,,PH 1stStg Comp Inner Seal Working Setpoint,FALSE,TRUE,VAL_23-PIC-96153:Control Module:YR,160670,,VLH_PCN1,1,barg,23-PIC-96153,pi:160670,akerbp
pi:160566,23-LY-92529_Setpoints_SP_waterHi:VALUE,PH (Profiler) Water deadband high setpoint,VAL_23-LY-92529_Setpoints_SP_waterHi:VALUE,PI,23-LE-92529,,PH (Profiler) Water deadband high setpoint,FALSE,FALSE,VAL_23-LY-92529_Setpoints_SP_waterHi:VALUE,160566,,VLH_PCN5,1,Kg/m3,23-LE-92529,pi:160566,akerbp
pi:160030,23_FIC_92543_01:Z.X.Value,PH 1stStgComp AntiSrg Cntrl OP,VAL_23_FIC_92543_01:Z.X.Value,PI,23-FIC-92543,,PH 1stStgComp AntiSrg Cntrl OP,FALSE,FALSE,VAL_23_FIC_92543_01:Z.X.Value,160030,,VLH_PCN1,1,,23-FIC-92543,pi:160030,akerbp
