name,description,source,original_file_id,uploaded_time,mime_type,external_id,labels,uploaded
PH-ME-P-0003-001.pdf,PROCESS FLOW DIAGRAM LP GAS COMPRESSION,Discovery,,22:09.3,application/pdf,,[{'external_id': 'Interactive engineering diagram'}],TRUE
PH-ME-P-0160-001.pdf,PIPING & INSTRUMENTATION DIAGRAM 1ST STAGE DISCHARGE COOLER,Discovery,,22:10.1,application/pdf,,[{'external_id': 'Interactive engineering diagram'}],TRUE
PH-ME-P-0151-001.pdf,PIPING & INSTRUMENTATION DIAGRAM 1ST STAGE SUCTION COOLER,Discovery,,22:13.7,application/pdf,,[{'external_id': 'Interactive engineering diagram'}],TRUE
PH-25578-P-4110006-001.pdf,1ST STAGE LUBE OIL SPPLY UNIT P&ID-DIAGRAM,Discovery,,22:10.1,application/pdf,,,TRUE
trainff.mp4,,Cognite Data Fusion,,43:34.7,video/mp4,,,TRUE
PH-25578-P-4110119-001.pdf,STAGE 1 - P & I DIAGRAM,Discovery,,22:10.1,application/pdf,,[{'external_id': 'Interactive engineering diagram'}],TRUE
PH-ME-P-0153-001.pdf,PIPING & INSTRUMENTATION DIAGRAM 1ST STAGE COMPRESSOR,Discovery,,22:09.2,application/pdf,,[{'external_id': 'Interactive engineering diagram'}],TRUE
PH-ME-P-0152-001.pdf,PIPING & INSTRUMENTATION DIAGRAM 1ST STAGE SUCTION SCRUBBER,Discovery,,22:10.7,application/pdf,,,TRUE
PH-25578-P-4110010-001.pdf,1ST STAGE DRY GAS SEAL SYSTEM P&ID-DIAGRAM,Discovery,,22:10.5,application/pdf,,[{'external_id': 'Interactive engineering diagram'}],TRUE
PH-ME-P-0004-001.pdf,PROCESS FLOW DIAGRAM MP GAS COMPRESSION,Discovery,,22:09.4,application/pdf,,,TRUE
PH-ME-P-0156-002.pdf,PIPING & INSTRUMENTATION DIAGRAM 1ST STAGE COMPR. TEMP. & VIBRATION MONITORING - SHEET 2,Discovery,,22:10.7,application/pdf,,[{'external_id': 'Interactive engineering diagram'}],TRUE
PH-ME-P-0156-001.pdf,PIPING & INSTRUMENTATION DIAGRAM 1ST STAGE COMPR. TEMP. & VIBRATION MONITORING - SHEET 1,Discovery,,22:10.7,application/pdf,,[{'external_id': 'Interactive engineering diagram'}],TRUE
